Age,City,Amount,Transaction_Type,Account_Balance,Time,Device,Fraud
56,Hyderabad,44753,Transfer,64094,Evening,Laptop,1
66,Chennai,42096,Withdrawal,96602,Afternoon,Desktop,0
69,Hyderabad,17390,Shopping,3169,Night,Mobile,0
49,Mumbai,5599,Shopping,49927,Morning,Desktop,0
21,Hyderabad,464,Transfer,82117,Evening,Laptop,0
47,Bangalore,19897,Payment,13438,Night,Laptop,1
54,Mumbai,40895,Withdrawal,6217,Morning,Desktop,0
40,Chennai,32635,Shopping,78318,Afternoon,Mobile,0
56,Chennai,46400,Transfer,48159,Afternoon,Mobile,1
62,Delhi,47276,Payment,65075,Afternoon,Laptop,0
32,Mumbai,16205,Payment,80237,Afternoon,Laptop,0
60,Delhi,8039,Shopping,16789,Night,Laptop,1
46,Mumbai,14036,Shopping,24906,Night,Mobile,0
53,Mumbai,42129,Withdrawal,97322,Morning,Laptop,0
30,Bangalore,15963,Payment,13373,Evening,Laptop,0
49,Delhi,12661,Withdrawal,82548,Morning,Mobile,0
24,Bangalore,10547,Payment,94963,Evening,Laptop,0
68,Mumbai,30724,Payment,23961,Afternoon,Laptop,0
39,Chennai,47040,Transfer,21210,Afternoon,Desktop,1
45,Mumbai,44746,Shopping,85988,Afternoon,Laptop,0
19,Bangalore,12511,Payment,13948,Afternoon,Desktop,0
59,Delhi,19565,Withdrawal,15698,Night,Laptop,1
62,Delhi,38316,Shopping,73658,Morning,Laptop,0
23,Bangalore,19742,Withdrawal,68438,Evening,Desktop,0
45,Delhi,31362,Shopping,51299,Evening,Laptop,0
45,Hyderabad,30463,Shopping,94503,Night,Desktop,0
61,Chennai,2207,Payment,35461,Afternoon,Laptop,0
61,Chennai,8028,Transfer,43507,Morning,Desktop,0
37,Chennai,48102,Payment,65970,Afternoon,Desktop,0
47,Delhi,19417,Shopping,52756,Night,Laptop,1
28,Delhi,49178,Payment,21239,Evening,Laptop,0
45,Mumbai,25117,Payment,84554,Night,Desktop,0
42,Mumbai,13628,Shopping,58686,Evening,Mobile,0
56,Chennai,13413,Shopping,27047,Morning,Laptop,0
50,Hyderabad,1659,Payment,94972,Evening,Laptop,0
18,Mumbai,15267,Payment,86323,Morning,Mobile,0
44,Mumbai,15443,Payment,51931,Afternoon,Mobile,0
69,Delhi,38698,Withdrawal,25976,Afternoon,Desktop,0
30,Hyderabad,7623,Payment,78911,Night,Laptop,1
58,Chennai,49877,Withdrawal,11186,Morning,Desktop,0
20,Mumbai,28539,Transfer,18036,Afternoon,Laptop,0
56,Hyderabad,15624,Withdrawal,34562,Morning,Mobile,0
23,Hyderabad,13385,Payment,48716,Afternoon,Desktop,0
25,Chennai,11073,Transfer,25541,Afternoon,Laptop,0
44,Hyderabad,22794,Withdrawal,32153,Evening,Laptop,0
26,Hyderabad,35874,Withdrawal,22173,Night,Mobile,0
54,Hyderabad,4402,Shopping,10867,Evening,Mobile,0
50,Mumbai,22491,Transfer,20129,Morning,Laptop,0
68,Chennai,4711,Shopping,89136,Afternoon,Mobile,0
59,Hyderabad,9472,Transfer,72690,Night,Mobile,0
61,Hyderabad,24412,Withdrawal,25563,Afternoon,Desktop,0
41,Mumbai,14180,Shopping,19822,Afternoon,Laptop,0
32,Chennai,15182,Payment,85046,Evening,Desktop,0
49,Delhi,47509,Withdrawal,13193,Morning,Mobile,0
49,Mumbai,42961,Transfer,9741,Night,Laptop,1
41,Chennai,30777,Transfer,30278,Night,Mobile,1
58,Hyderabad,20974,Shopping,13151,Night,Mobile,0
69,Chennai,8478,Shopping,26466,Morning,Laptop,0
66,Chennai,1697,Transfer,9775,Night,Mobile,0
66,Chennai,11700,Withdrawal,46106,Morning,Desktop,0
69,Delhi,3847,Shopping,2158,Night,Laptop,1
29,Chennai,13979,Payment,94999,Afternoon,Mobile,0
56,Delhi,13117,Transfer,72968,Morning,Mobile,0
19,Hyderabad,24915,Payment,14748,Evening,Mobile,0
20,Delhi,19064,Transfer,24937,Night,Laptop,1
66,Hyderabad,28912,Payment,40227,Evening,Desktop,0
54,Hyderabad,40300,Withdrawal,18701,Morning,Mobile,0
66,Delhi,24814,Transfer,41650,Afternoon,Mobile,0
34,Mumbai,18990,Withdrawal,90391,Evening,Mobile,0
66,Bangalore,4825,Shopping,15499,Evening,Laptop,0
19,Chennai,43305,Transfer,6876,Afternoon,Mobile,1
19,Bangalore,20784,Withdrawal,52173,Afternoon,Mobile,0
45,Chennai,26425,Payment,3976,Morning,Mobile,0
40,Chennai,32642,Withdrawal,70402,Night,Laptop,1
54,Hyderabad,46137,Transfer,91769,Evening,Desktop,1
49,Chennai,13192,Withdrawal,78494,Evening,Laptop,0
50,Chennai,30482,Payment,63378,Morning,Desktop,0
18,Delhi,39870,Payment,98831,Night,Desktop,0
36,Bangalore,25557,Payment,21115,Morning,Laptop,0
19,Delhi,6231,Shopping,11664,Evening,Mobile,0
61,Chennai,46129,Transfer,39816,Evening,Desktop,1
43,Hyderabad,25315,Payment,69060,Afternoon,Mobile,0
49,Delhi,12712,Shopping,30059,Afternoon,Desktop,0
23,Delhi,37405,Payment,63468,Night,Mobile,0
49,Mumbai,13191,Withdrawal,67300,Evening,Mobile,0
21,Chennai,35203,Transfer,9547,Evening,Laptop,1
28,Hyderabad,37189,Withdrawal,45485,Afternoon,Mobile,0
34,Delhi,29859,Shopping,72623,Morning,Desktop,0
55,Delhi,46122,Withdrawal,7077,Morning,Mobile,0
41,Hyderabad,659,Withdrawal,83671,Evening,Mobile,0
22,Chennai,813,Payment,4370,Evening,Mobile,0
69,Mumbai,37461,Withdrawal,34594,Night,Desktop,0
51,Delhi,15284,Payment,55829,Night,Desktop,0
23,Mumbai,15361,Payment,9717,Afternoon,Desktop,0
39,Bangalore,20472,Transfer,83638,Evening,Mobile,0
28,Chennai,32240,Shopping,66641,Morning,Laptop,0
65,Bangalore,33124,Shopping,22843,Night,Desktop,0
33,Bangalore,47442,Shopping,51322,Afternoon,Mobile,0
50,Bangalore,32644,Payment,13503,Afternoon,Desktop,0
26,Chennai,137,Shopping,60038,Morning,Laptop,0
23,Chennai,43132,Payment,32589,Night,Mobile,0
33,Hyderabad,12797,Transfer,54095,Morning,Desktop,0
46,Mumbai,41520,Shopping,83697,Afternoon,Desktop,0
20,Mumbai,48798,Payment,82818,Evening,Laptop,0
37,Hyderabad,31807,Shopping,30529,Morning,Desktop,0
53,Hyderabad,26116,Shopping,79523,Afternoon,Mobile,0
36,Bangalore,34700,Transfer,51824,Evening,Mobile,1
43,Hyderabad,48385,Withdrawal,52462,Evening,Laptop,0
20,Delhi,24084,Shopping,39542,Night,Laptop,1
36,Mumbai,5267,Transfer,88101,Night,Laptop,1
37,Hyderabad,532,Shopping,76880,Afternoon,Mobile,0
49,Delhi,4251,Shopping,85359,Morning,Laptop,0
24,Delhi,47780,Shopping,91433,Evening,Desktop,0
69,Delhi,6511,Shopping,46457,Night,Desktop,0
58,Delhi,30888,Withdrawal,83364,Night,Mobile,0
50,Bangalore,26723,Withdrawal,44239,Morning,Desktop,0
57,Delhi,22204,Shopping,39233,Night,Laptop,1
56,Bangalore,356,Shopping,45889,Afternoon,Desktop,0
35,Bangalore,33539,Transfer,30215,Morning,Laptop,1
57,Delhi,33357,Transfer,39616,Evening,Desktop,1
18,Mumbai,39757,Payment,57422,Afternoon,Mobile,0
28,Delhi,44774,Withdrawal,56751,Evening,Laptop,0
45,Delhi,18166,Shopping,62294,Evening,Desktop,0
42,Delhi,45471,Withdrawal,18080,Night,Mobile,0
67,Mumbai,32846,Transfer,1323,Afternoon,Desktop,1
40,Chennai,2560,Withdrawal,92508,Afternoon,Mobile,0
48,Chennai,37397,Withdrawal,7584,Morning,Desktop,0
47,Bangalore,34843,Shopping,78491,Afternoon,Laptop,0
59,Bangalore,3316,Shopping,11107,Morning,Laptop,0
52,Mumbai,14367,Transfer,82955,Afternoon,Laptop,0
24,Hyderabad,9681,Shopping,85430,Evening,Laptop,0
33,Chennai,4615,Transfer,76855,Morning,Laptop,0
43,Bangalore,22176,Transfer,12469,Afternoon,Desktop,0
65,Chennai,44916,Payment,63559,Morning,Desktop,0
69,Mumbai,9876,Payment,17833,Night,Desktop,0
66,Mumbai,22047,Payment,77736,Night,Desktop,0
19,Hyderabad,3063,Withdrawal,97828,Morning,Laptop,0
18,Hyderabad,6886,Payment,99347,Morning,Mobile,0
65,Mumbai,13966,Shopping,37168,Evening,Laptop,0
29,Bangalore,39068,Shopping,12445,Afternoon,Desktop,0
22,Chennai,32405,Payment,47026,Night,Laptop,1
54,Delhi,17460,Withdrawal,48217,Night,Laptop,1
49,Hyderabad,40213,Transfer,59926,Afternoon,Laptop,1
26,Delhi,32913,Withdrawal,84666,Night,Mobile,0
58,Bangalore,1293,Withdrawal,90980,Night,Laptop,1
52,Hyderabad,4612,Transfer,89396,Morning,Laptop,0
36,Delhi,22766,Transfer,78849,Night,Mobile,0
65,Bangalore,16730,Transfer,5101,Night,Laptop,1
33,Chennai,9083,Shopping,13430,Night,Laptop,1
20,Bangalore,736,Transfer,4833,Afternoon,Laptop,0
37,Hyderabad,3875,Transfer,71435,Evening,Laptop,0
41,Mumbai,2521,Withdrawal,18339,Morning,Laptop,0
50,Chennai,13125,Withdrawal,51837,Evening,Desktop,0
41,Delhi,9380,Payment,40704,Night,Laptop,1
69,Hyderabad,37051,Withdrawal,20695,Night,Mobile,0
28,Mumbai,11451,Transfer,28348,Night,Laptop,1
66,Bangalore,49964,Shopping,89729,Evening,Desktop,0
25,Mumbai,38191,Withdrawal,41354,Afternoon,Mobile,0
53,Hyderabad,45756,Withdrawal,51498,Afternoon,Mobile,0
55,Hyderabad,30271,Transfer,67890,Morning,Laptop,1
57,Mumbai,3744,Withdrawal,32058,Evening,Desktop,0
37,Bangalore,16242,Withdrawal,3485,Afternoon,Laptop,0
52,Mumbai,7873,Transfer,62294,Morning,Desktop,0
65,Hyderabad,28566,Withdrawal,44085,Night,Desktop,0
42,Hyderabad,10878,Shopping,85314,Night,Laptop,1
52,Delhi,12601,Payment,40764,Morning,Desktop,0
42,Delhi,47277,Withdrawal,33826,Afternoon,Laptop,0
46,Chennai,2208,Shopping,85316,Evening,Desktop,0
35,Hyderabad,29469,Withdrawal,59761,Morning,Mobile,0
63,Delhi,36482,Payment,34522,Afternoon,Laptop,0
35,Mumbai,25918,Transfer,16167,Morning,Desktop,0
19,Bangalore,10351,Payment,18565,Afternoon,Mobile,0
52,Mumbai,23441,Withdrawal,87691,Night,Mobile,0
33,Bangalore,11778,Payment,10506,Morning,Mobile,0
58,Delhi,14467,Payment,72319,Evening,Mobile,0
53,Chennai,29772,Transfer,45576,Morning,Laptop,0
50,Mumbai,4432,Withdrawal,69361,Night,Desktop,0
21,Mumbai,12102,Payment,96819,Night,Mobile,0
50,Mumbai,20384,Payment,50893,Afternoon,Desktop,0
31,Bangalore,15800,Transfer,3643,Night,Desktop,0
38,Delhi,13869,Shopping,58005,Afternoon,Desktop,0
65,Mumbai,29418,Withdrawal,12917,Night,Laptop,1
37,Mumbai,24423,Shopping,31800,Afternoon,Laptop,0
25,Chennai,27710,Shopping,92562,Evening,Mobile,0
24,Chennai,7063,Transfer,29396,Afternoon,Desktop,0
20,Delhi,7938,Transfer,51129,Afternoon,Laptop,0
34,Delhi,45267,Withdrawal,28106,Evening,Laptop,0
50,Hyderabad,12343,Shopping,40416,Afternoon,Laptop,0
65,Chennai,28039,Payment,61830,Afternoon,Mobile,0
29,Hyderabad,1945,Shopping,8051,Evening,Laptop,0
68,Bangalore,46810,Transfer,56922,Night,Desktop,1
39,Hyderabad,16866,Payment,68282,Morning,Laptop,0
39,Mumbai,36980,Payment,65891,Afternoon,Laptop,0
63,Hyderabad,12880,Transfer,63911,Night,Mobile,0
47,Delhi,48558,Payment,73685,Morning,Desktop,0
55,Bangalore,42956,Shopping,1388,Evening,Laptop,0
55,Mumbai,1609,Transfer,57635,Afternoon,Desktop,0
62,Hyderabad,24057,Withdrawal,29924,Afternoon,Desktop,0
68,Bangalore,45272,Transfer,42059,Evening,Laptop,1
25,Bangalore,34446,Withdrawal,11575,Afternoon,Mobile,0
44,Mumbai,17363,Withdrawal,23199,Morning,Desktop,0
44,Hyderabad,46974,Transfer,48472,Morning,Laptop,1
51,Bangalore,26248,Transfer,10450,Evening,Desktop,0
38,Bangalore,31633,Withdrawal,5913,Afternoon,Desktop,0
47,Chennai,42708,Withdrawal,39805,Night,Desktop,0
50,Bangalore,13031,Payment,4069,Afternoon,Laptop,0
45,Chennai,1459,Transfer,67278,Evening,Desktop,0
64,Hyderabad,24632,Transfer,30585,Night,Desktop,0
50,Hyderabad,20444,Payment,76523,Morning,Mobile,0
22,Hyderabad,4342,Transfer,84345,Morning,Laptop,0
65,Delhi,20701,Payment,96807,Night,Laptop,1
36,Hyderabad,49332,Payment,92674,Night,Desktop,0
21,Bangalore,19216,Transfer,36663,Evening,Mobile,0
52,Mumbai,35577,Shopping,50092,Afternoon,Desktop,0
66,Chennai,30882,Withdrawal,87651,Morning,Desktop,0
34,Delhi,45659,Transfer,57833,Afternoon,Laptop,1
61,Hyderabad,49919,Shopping,8539,Morning,Mobile,0
45,Hyderabad,18980,Payment,8698,Afternoon,Desktop,0
47,Mumbai,3599,Shopping,34854,Morning,Laptop,0
46,Mumbai,31687,Transfer,4324,Afternoon,Desktop,1
63,Delhi,44558,Transfer,50920,Evening,Desktop,1
23,Chennai,26120,Shopping,90035,Morning,Mobile,0
52,Hyderabad,8180,Transfer,3936,Evening,Mobile,0
58,Delhi,23307,Withdrawal,94050,Morning,Mobile,0
54,Bangalore,34057,Shopping,41357,Morning,Desktop,0
41,Bangalore,14008,Payment,16557,Morning,Mobile,0
46,Delhi,30752,Shopping,1810,Afternoon,Laptop,0
66,Hyderabad,30444,Shopping,75855,Morning,Desktop,0
63,Delhi,25134,Shopping,79493,Evening,Mobile,0
48,Hyderabad,25888,Shopping,66513,Afternoon,Desktop,0
52,Mumbai,12851,Payment,60522,Afternoon,Desktop,0
50,Delhi,47582,Payment,9406,Morning,Laptop,0
69,Hyderabad,33893,Payment,10368,Night,Laptop,1
38,Delhi,32939,Shopping,19046,Afternoon,Laptop,0
49,Delhi,38414,Withdrawal,99312,Morning,Desktop,0
40,Hyderabad,35553,Withdrawal,73355,Evening,Desktop,0
50,Hyderabad,9485,Payment,33649,Night,Laptop,1
20,Chennai,18332,Withdrawal,67881,Afternoon,Desktop,0
35,Delhi,43444,Withdrawal,24184,Night,Laptop,1
42,Bangalore,34890,Withdrawal,30358,Afternoon,Laptop,0
59,Delhi,15931,Withdrawal,45830,Night,Mobile,0
48,Delhi,20225,Withdrawal,59704,Night,Laptop,1
20,Hyderabad,45808,Transfer,92703,Evening,Mobile,1
57,Delhi,17782,Payment,25793,Night,Laptop,1
63,Delhi,36970,Shopping,57369,Evening,Desktop,0
41,Bangalore,17388,Withdrawal,90929,Morning,Mobile,0
67,Hyderabad,35894,Transfer,5129,Afternoon,Desktop,1
49,Delhi,39577,Shopping,6204,Evening,Desktop,0
64,Mumbai,24505,Transfer,2276,Afternoon,Laptop,0
39,Chennai,38837,Withdrawal,57755,Evening,Laptop,0
40,Bangalore,2720,Withdrawal,48781,Afternoon,Desktop,0
19,Delhi,35514,Withdrawal,31736,Evening,Laptop,0
44,Mumbai,37733,Withdrawal,67280,Afternoon,Laptop,0
59,Delhi,35157,Shopping,1833,Morning,Laptop,0
19,Delhi,40238,Shopping,69705,Afternoon,Desktop,0
43,Hyderabad,13954,Transfer,83620,Morning,Mobile,0
34,Hyderabad,9777,Payment,51446,Morning,Mobile,0
57,Hyderabad,44211,Withdrawal,55833,Morning,Desktop,0
50,Mumbai,24174,Transfer,27777,Night,Laptop,1
26,Delhi,17924,Transfer,51106,Afternoon,Laptop,0
60,Chennai,865,Transfer,2433,Night,Mobile,0
65,Bangalore,45539,Withdrawal,34014,Night,Desktop,0
56,Hyderabad,31715,Withdrawal,90393,Afternoon,Desktop,0
46,Hyderabad,49026,Transfer,93107,Morning,Laptop,1
59,Delhi,36960,Withdrawal,63458,Night,Laptop,1
43,Delhi,13075,Transfer,7327,Night,Laptop,1
52,Mumbai,9441,Shopping,31344,Evening,Desktop,0
67,Mumbai,28241,Withdrawal,91700,Afternoon,Mobile,0
42,Hyderabad,12434,Shopping,1292,Night,Desktop,0
41,Delhi,48945,Payment,40195,Afternoon,Desktop,0
30,Chennai,15935,Withdrawal,83687,Afternoon,Desktop,0
24,Bangalore,26648,Payment,43010,Night,Mobile,0
53,Delhi,35534,Transfer,39637,Afternoon,Laptop,1
62,Delhi,25139,Withdrawal,85110,Morning,Laptop,0
37,Mumbai,32630,Withdrawal,73910,Night,Desktop,0
18,Bangalore,38836,Withdrawal,82712,Night,Desktop,0
25,Hyderabad,40509,Payment,40132,Night,Mobile,0
63,Delhi,18665,Payment,37290,Evening,Mobile,0
33,Hyderabad,9934,Transfer,84068,Evening,Laptop,0
31,Delhi,36756,Shopping,31385,Evening,Desktop,0
29,Hyderabad,940,Shopping,65714,Evening,Mobile,0
68,Bangalore,13973,Payment,77044,Night,Mobile,0
40,Mumbai,31668,Withdrawal,45370,Morning,Desktop,0
32,Bangalore,10946,Shopping,48610,Afternoon,Desktop,0
45,Chennai,5999,Shopping,5671,Afternoon,Desktop,0
51,Mumbai,20602,Payment,10089,Night,Desktop,0
19,Bangalore,665,Transfer,18577,Morning,Desktop,0
49,Chennai,38873,Payment,65374,Afternoon,Desktop,0
40,Delhi,42024,Payment,72746,Morning,Mobile,0
39,Delhi,43342,Withdrawal,86272,Night,Desktop,0
68,Hyderabad,9287,Payment,38727,Evening,Laptop,0
42,Mumbai,7326,Withdrawal,15437,Morning,Desktop,0
39,Delhi,42247,Transfer,10254,Afternoon,Laptop,1
39,Mumbai,38758,Withdrawal,26188,Afternoon,Laptop,0
66,Delhi,45981,Transfer,7548,Afternoon,Laptop,1
69,Hyderabad,4411,Transfer,23068,Evening,Desktop,0
59,Bangalore,44314,Transfer,98083,Morning,Desktop,1
23,Hyderabad,41716,Payment,75519,Morning,Laptop,0
32,Chennai,25789,Withdrawal,18045,Afternoon,Desktop,0
60,Delhi,6183,Shopping,83449,Morning,Mobile,0
